ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20200313,20200311,华夏基金-农业银行-华夏中证金融资产管理计划,144472197.0,1.1176,,0.0,基金专户理财
600030.SH,20200313,20200311,中欧基金-农业银行-中欧中证金融资产管理计划,140178900.0,1.0844,,0.0,基金专户理财
600030.SH,20120831,20120630,中国中信集团公司,2260401272.0,20.5176,22.7913,0.0,一般企业
600030.SH,20120330,20111231,中国中信集团公司,2260401272.0,20.5176,22.7913,-95640601.0,一般企业
600030.SH,20110820,20110630,中国中信集团公司,2356041873.0,23.689,23.6668,0.0,一般企业
600030.SH,20110409,20101231,中国中信集团公司,2356041873.0,23.689,23.6668,0.0,一般企业
600030.SH,20100828,20100630,中国中信集团公司,2356041873.0,23.689,23.6668,785347291.0,一般企业
600030.SH,20100331,20091231,中国中信集团公司,1570694582.0,23.689,23.6668,0.0,一般企业
600030.SH,20090815,20090630,中国中信集团公司,1570694582.0,23.689,23.6668,0.0,一般企业
600030.SH,20090430,20081231,中国中信集团公司,1570694582.0,23.689,23.6668,1370000.0,一般企业
600030.SH,20080809,20080630,中国中信集团公司,1569324582.0,23.6684,10.1431,784662291.0,一般企业
600030.SH,20080317,20071231,中国中信集团公司,784662291.0,23.6684,10.1431,0.0,一般企业
600030.SH,20070903,20070827,中国人寿保险(集团)公司,176287421.0,5.3175,6.315,17612875.0,一般企业
600030.SH,20070903,20070827,雅戈尔集团股份有限公司,150124100.0,4.5283,5.3778,-2558912.0,一般企业
600030.SH,20070903,20070827,中信国安集团公司,62792515.0,1.8941,2.2494,3201888.0,一般企业
600030.SH,20070903,20070827,中国运载火箭技术研究院,37010300.0,1.1164,1.3258,3697699.0,院校—研究院
600030.SH,20070903,20070827,柳州两面针股份有限公司,35160715.0,1.0606,1.2595,-2165865.0,一般企业
600030.SH,20070903,20070827,中粮集团有限公司,33952160.0,1.0241,1.2162,3392160.0,一般企业
600030.SH,20070903,20070827,南京新港高科技股份有限公司,30607878.0,0.9232,1.0964,3058033.0,一般企业
600030.SH,20070903,20070827,中国工商银行-南方绩优成长股票型证券投资基金,26106313.0,0.7875,0.9352,,开放式投资基金
600030.SH,20070903,20070827,中国中信集团公司,784662291.0,23.6684,10.4238,35000000.0,一般企业
600030.SH,20070903,20070827,中国人寿保险股份有限公司,398023586.0,12.0059,14.2581,39766533.0,金融机构—保险公司
600030.SH,20070815,20070630,中国中信集团公司,749662291.0,25.1438,5.6027,0.0,一般企业
600030.SH,20070815,20070630,雅戈尔集团股份有限公司,152683012.0,5.121,4.2036,-30982615.0,一般企业
600030.SH,20070815,20070630,中信国安集团公司,59590627.0,1.9987,0.0,-124075000.0,一般企业
