ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20140710,11.43,440.34,5033.09,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20140709,11.47,220.17,2525.35,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20140530,11.32,65.22,738.24,东方证券股份有限公司东方资财,中国国际金融有限公司上海淮海中路证券营业部
600030.SH,20140303,10.35,137.0,1417.95,中国国际金融有限公司北京建国门外大街证券营业部,广发证券股份有限公司佛山汾江中路证券营业部
600030.SH,20140303,10.35,46.5,481.28,中国国际金融有限公司北京建国门外大街证券营业部,广发证券股份有限公司佛山汾江中路证券营业部
600030.SH,20140303,10.35,105.0,1086.75,中国国际金融有限公司北京建国门外大街证券营业部,广发证券股份有限公司佛山汾江中路证券营业部
600030.SH,20140303,10.35,82.5,853.88,中国国际金融有限公司北京建国门外大街证券营业部,广发证券股份有限公司佛山汾江中路证券营业部
600030.SH,20140127,11.56,228.4,2640.3,海通证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20131218,11.3,330.0,3729.0,银泰证券有限责任公司深圳福华三路证券营业部,银泰证券有限责任公司深圳福华三路证券营业部
600030.SH,20131128,12.84,61.2,785.81,海通证券股份有限公司国际部,东方证券股份有限公司东方资财
600030.SH,20131128,11.62,31.5,366.03,海通证券股份有限公司上海普陀区澳门路证券营业部,中国中投证券有限责任公司深圳深南大道证券营业部
600030.SH,20131127,12.91,315.0,4066.65,海通证券股份有限公司国际部,申银万国证券股份有限公司上海新昌路营业部
600030.SH,20131107,11.49,262.63,3017.62,海通证券股份有限公司国际部,申银万国证券股份有限公司上海新昌路营业部
600030.SH,20131024,11.83,143.28,1695.0,海通证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20131017,11.81,95.44,1127.16,海通证券股份有限公司国际部,东方证券股份有限公司东方资财
600030.SH,20130926,12.02,60.2,723.6,中国国际金融有限公司上海淮海中路证券营业部,东方证券股份有限公司东方资财
600030.SH,20130926,12.02,39.11,470.1,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司上海淮海中路证券营业部
600030.SH,20130906,10.3,269.91,2780.07,瑞银证券有限责任公司深圳深南东路证券营业部,平安证券有限责任公司深圳深南东路罗湖商务中心证券营业部
600030.SH,20130711,10.45,86.47,903.61,安信证券股份有限公司上海世纪大道证券营业部,华鑫证券有限责任公司上海茅台路证券营业部
600030.SH,20130618,11.2,71.78,803.94,安信证券股份有限公司上海世纪大道证券营业部,中信证券股份有限公司总部(非营业场所)
600030.SH,20130530,11.84,81.0,959.04,中信建投证券股份有限公司上海世纪大道证券营业部,中信证券股份有限公司苏州中新路证券营业部
600030.SH,20130503,12.86,315.03,4051.29,中国国际金融有限公司上海淮海中路证券营业部,东方证券股份有限公司东方资财
600030.SH,20130307,12.96,78.0,1010.88,海通证券股份有限公司上海江宁路证券营业部,国开证券有限责任公司北京中关村南大街证券营业部
600030.SH,20130306,14.39,37.0,532.43,海通证券股份有限公司国际部,东方证券股份有限公司东方资财
600030.SH,20130305,12.43,225.0,2796.75,中信证券股份有限公司北京复外大街证券营业部,中航证券有限公司北京安立路证券营业部
600030.SH,20130301,13.19,40.0,527.6,中信证券股份有限公司北京复外大街证券营业部,齐鲁证券有限公司北京北四环西路证券营业部
